Anal,Simple explanation,Label
CEC_ph7,Cation Exchange Capacity using Ammonium Acetate reagent,CEC at pH7 (ECEC) (mEq 100 g-1)
Mg_amextr,Magnesium extraction using Ammonium Acetate reagent,Extracted Mg (mEq 100 g-1)
K_amextr,Potassium extraction using Ammonium Acetate reagent,Extracted K (mEq 100 g-1)
Na_extr,Sodium extraction using Ammonium Acetate reagent,Extracted Na (mEq 100 g-1)
Tot_C,"Total carbon, measured with combustion",Total Carbon (%)
Tot_N,"Total nitrogen, measured with combustion",Total Nitrogen (%)
Tot_S,"Total Sulfur, measured with combustion",Total Sulfur (%)
CEC_NH4OAc,Extraction of exchangeable Al and a measure of active acidity in soils with pH<5.5,CEC (mg L-1)
Mehlich_P,P is extracted by reaction with acetic acid and Fl compounds,Mehlich P (mg/kg)
Est_totOC,"Estimated organic carbon, calculated from total Carbon minus any measured carbonates",Estimated Organic Carbon (% C)
ph_h20,Soil-water suspension (1:1),pH
ph_Cacl2,Soil-calcium chloride suspension (1:2),CalCL2 pH
EC_test,Electrical conductivity,EC predict
Clay,Total Clay,Clay (%)
Sand,Total Sand,Sand (%)
Silt,Total Silt,Silt (%)
CF_labvol,Coarse Fragments greater than 2mm measured in sample sent to lab,Coarse Fragments (%)
Sum_bases,Sum of ion exchange and extractable cations,Sum of Bases (%)
BS_NH4OAc,"Base saturation by NH4OAc, pH7 (CEC-7)",Sum of Bases (%)
BS_sumBase,"Base Saturation, sum of cations",Sum of Bases (%)
CEC_sumcation,Cation Exchange Capacity,Cation Exchange Capacity (meq/100g)
Eff_CEC,Effective Cation Exchange Capacity,Effective Cation Exchange Capacity (meq/100g)
extr_acid,"Extractable Acidity, BaCl2-TEA Extractable, pH 8_2, centrifuge",Extractable Acidity (cmol(+)/kg)
Surf_Stab,Soil stability at surface (field method),Soil Stability (1 - 6 scale)
25_Stab,Soil stability at 2.5 cm (field method),Soil Stability (1 - 6 scale)
sand_coarse,A soil separate with .50 to 1.0-mm particle diameter,Coarse Sand (%)
sand_fine,A soil separate with 0.10 to 0.25-mm particle diameter,Fine Sand (%)
sand_medium,A soil separate with 0.25-0.50-mm particle diameter,Medium Sand (%)
sand_vfine,A soil separate with 0.02 to 0.05-mm particle diameter,Very Fine Sand (%)
sand_vcoarse,A soil separate with 1.0 to 2.0-mm particle diameter,Very Coarse Sand (%)
silt_fine,A soil separate with ___________-mm particle diameter,Fine Silt (%)
BD_clod_13,"Bulk density using the cold method (valume at 1/3 bar, approximates field moist)",Bulk Density (g cm-3)
FM_clod,Field moisture content from clod samples,Field H20 (%)
BD_compcav,Bulk Density from compliant cavity,Bulk Density (g cm-3)
FM_compcav,Field moisture content from compliant cavity,Field H20 (%)
BD_core_fld,Field moist bulk density determined by sampling core,Bulk Density (g cm-3)
FM_core,Field moisture content from core samples,Field H20 (%)
BD_recon13,"Bulk density from reconstituted sample, 1/3 bar",Reconstituted Bulk Density (1/3 bar)(%)
FM_recon_moist,"Water retention of reconstituted sample, moist",Reconstituted Bulk Density (field moist)(%)
Total.C,"Total carbon, measured with combustion (outside of KSSL)",Total Carbon (%)
Total.N,"Total Nitrogen, measured with combustion (outside of KSSL)",Total Nitrogen (%)
BD_other,"Bulk density, volumetric ring (outside of KSSL)",Bulk Density (g cm-3)
BulkDensity,Bulk Density using best or most consitent method,Bulk Density (g cm-3)
SOC,Soil Organic Carbon from best available data,Soil Organic Carbon (%)
TN,Total Nitrogren from best available data,Total Nitrogen (%)
Othick,Organic horizon thickness (any O designations),O Horizon Thickness (cm)
